Token(order_id=0, tokenType=LET, value=let, row=1)
Token(order_id=1, tokenType=WHITESPACE, value= , row=1)
Token(order_id=2, tokenType=IDENTIFIER, value=a, row=1)
Token(order_id=3, tokenType=COLON, value=:, row=1)
Token(order_id=4, tokenType=WHITESPACE, value= , row=1)
Token(order_id=5, tokenType=TYPE, value=number, row=1)
Token(order_id=6, tokenType=WHITESPACE, value= , row=1)
Token(order_id=7, tokenType=ASSIGNATION, value==, row=1)
Token(order_id=8, tokenType=WHITESPACE, value= , row=1)
Token(order_id=9, tokenType=NUMERIC_LITERAL, value=4, row=1)
Token(order_id=10, tokenType=SEMICOLON, value=;, row=1)
Token(order_id=0, tokenType=PRINTLN, value=println, row=2)
Token(order_id=1, tokenType=OPEN_PARENTHESIS, value=(, row=2)
Token(order_id=2, tokenType=IDENTIFIER, value=a, row=2)
Token(order_id=3, tokenType=WHITESPACE, value= , row=2)
Token(order_id=4, tokenType=OPERATOR, value=+, row=2)
Token(order_id=5, tokenType=WHITESPACE, value= , row=2)
Token(order_id=6, tokenType=NUMERIC_LITERAL, value=4, row=2)
Token(order_id=7, tokenType=CLOSE_PARENTHESIS, value=), row=2)
Token(order_id=8, tokenType=SEMICOLON, value=;, row=2)
Token(order_id=0, tokenType=LET, value=let, row=3)
Token(order_id=1, tokenType=WHITESPACE, value= , row=3)
Token(order_id=2, tokenType=IDENTIFIER, value=B, row=3)
Token(order_id=3, tokenType=COLON, value=:, row=3)
Token(order_id=4, tokenType=WHITESPACE, value= , row=3)
Token(order_id=5, tokenType=TYPE, value=number, row=3)
Token(order_id=6, tokenType=SEMICOLON, value=;, row=3)
